	ant_genome.fa.transdecoder	chicken_genome.fa.transdecoder	oyster_transcriptome.fa.transdecoder	salmon_transcriptome.fa.transdecoder	sponge_transcriptome.fa.transdecoder	Total
OG0000000	0	0	570	0	9	579
OG0000001	18	22	301	201	4	546
OG0000002	9	94	15	396	2	516
OG0000003	33	133	128	196	0	490
OG0000004	219	0	143	37	29	428
OG0000005	48	13	122	115	106	404
OG0000006	3	41	187	76	10	317
OG0000007	45	62	59	139	1	306
OG0000008	0	0	304	0	0	304
OG0000009	23	71	64	104	2	264
OG0000010	7	106	18	129	1	261
OG0000011	0	247	0	3	0	250
OG0000012	0	4	0	228	15	247
OG0000013	9	64	19	123	19	234
OG0000014	16	42	103	68	0	229
OG0000015	0	0	0	221	0	221
OG0000016	13	66	10	117	1	207
OG0000017	7	58	26	114	1	206
OG0000018	37	67	21	76	1	202
OG0000019	0	0	197	0	0	197
OG0000020	32	53	21	89	1	196
OG0000021	40	59	25	70	2	196
OG0000022	14	42	1	135	1	193
OG0000023	18	101	42	30	1	192
OG0000024	8	141	13	3	22	187
OG0000025	8	32	15	117	3	175
OG0000026	4	68	10	91	0	173
OG0000027	13	67	1	90	1	172
OG0000028	6	6	57	10	93	172
OG0000029	1	7	106	1	50	165
OG0000030	8	35	24	80	13	160
OG0000031	4	31	17	102	1	155
OG0000032	4	39	2	102	0	147
OG0000033	14	63	23	47	0	147
OG0000034	7	48	11	77	2	145
OG0000035	3	51	9	80	1	144
OG0000036	20	42	7	71	2	142
OG0000037	2	83	4	49	1	139
OG0000038	5	14	28	61	28	136
OG0000039	0	1	7	127	0	135
OG0000040	4	37	11	79	1	132
OG0000041	2	26	17	86	1	132
OG0000042	0	18	0	111	3	132
OG0000043	0	52	0	79	0	131
OG0000044	6	43	56	23	0	128
OG0000045	6	29	25	68	0	128
OG0000046	0	50	35	36	7	128
OG0000047	6	0	26	87	7	126
OG0000048	5	47	7	65	1	125
OG0000049	7	39	1	77	1	125
OG0000050	11	52	14	45	1	123
OG0000051	43	51	17	12	0	123
OG0000052	1	1	85	19	17	123
OG0000053	36	24	26	35	1	122
OG0000054	16	32	5	65	2	120
OG0000055	8	30	6	74	1	119
OG0000056	10	36	11	59	1	117
OG0000057	4	64	12	35	2	117
OG0000058	6	24	21	48	17	116
OG0000059	14	31	12	58	1	116
OG0000060	5	26	11	74	0	116
OG0000061	10	57	14	33	1	115
OG0000062	73	6	5	21	10	115
OG0000063	6	58	1	49	1	115
OG0000064	9	28	31	46	1	115
OG0000065	0	11	66	38	0	115
OG0000066	21	22	1	69	1	114
OG0000067	5	46	20	41	1	113
OG0000068	0	24	38	50	1	113
OG0000069	0	0	88	0	25	113
OG0000070	3	42	12	53	1	111
OG0000071	6	35	13	53	3	110
OG0000072	9	34	4	62	1	110
OG0000073	0	42	0	68	0	110
OG0000074	21	24	27	24	13	109
OG0000075	1	0	77	18	13	109
OG0000076	0	51	6	51	0	108
OG0000077	2	12	14	78	1	107
OG0000078	14	53	4	31	4	106
OG0000079	20	39	5	38	3	105
OG0000080	5	63	2	35	0	105
OG0000081	18	28	2	55	1	104
OG0000082	8	34	4	55	3	104
OG0000083	0	92	7	4	0	103
OG0000084	3	23	33	41	2	102
OG0000085	11	18	6	65	2	102
OG0000086	50	6	4	40	0	100
OG0000087	0	5	0	94	0	99
OG0000088	22	0	63	0	13	98
OG0000089	0	0	98	0	0	98
OG0000090	7	42	10	37	1	97
OG0000091	8	12	21	55	1	97
OG0000092	14	36	3	43	1	97
OG0000093	11	39	13	33	1	97
OG0000094	21	13	15	45	1	95
OG0000095	12	8	41	34	0	95
OG0000096	7	22	12	51	2	94
OG0000097	21	30	21	17	4	93
OG0000098	9	26	7	50	1	93
OG0000099	3	33	14	40	3	93
OG0000100	14	22	10	46	1	93
OG0000101	3	0	61	28	1	93
OG0000102	0	0	0	93	0	93
OG0000103	13	17	24	37	1	92
OG0000104	4	40	4	44	0	92
OG0000105	6	21	5	58	2	92
OG0000106	7	34	16	33	1	91
OG0000107	14	23	7	46	1	91
OG0000108	0	85	1	5	0	91
OG0000109	0	0	90	0	1	91
OG0000110	7	34	8	40	1	90
OG0000111	9	20	6	52	3	90
OG0000112	0	1	0	89	0	90
OG0000113	5	36	24	23	1	89
OG0000114	8	23	4	53	1	89
OG0000115	8	22	42	14	3	89
OG0000116	39	28	7	12	3	89
OG0000117	7	38	12	30	1	88
OG0000118	1	24	21	10	32	88
OG0000119	4	24	14	36	10	88
OG0000120	0	88	0	0	0	88
OG0000121	9	39	11	28	0	87
OG0000122	16	40	5	25	1	87
OG0000123	0	57	0	30	0	87
OG0000124	0	2	0	85	0	87
OG0000125	2	21	23	40	0	86
OG0000126	2	3	78	1	2	86
OG0000127	24	38	11	8	5	86
OG0000128	1	22	29	31	3	86
